"# of Use","# 使用中"
"%1$s incl tax.","%1$s 税込"
"%s - %s","%s - %s"
"%s Item(s)","%s件の商品"
"Delete Attribute","属性の削除"
"Delete Attribute Set","属性の削除"
"Delete Category","カテゴリの削除"
"Delete Option","オプションの削除"
"Delete Row","行の削除"
"Delete Search","検索の削除"
"Delete Selected Group","選択したグループの削除"
"Delete category","カテゴリの削除"
"Delete product","商品の削除"
"Depends on design theme","Depends on design theme"
"Design","デザイン"
"Disabled","無効"
"Disallowed file type.","Disallowed file type."
"Display in Suggested Terms","お勧め文内に表示"
"Double click on a group to rename it","ダブルクリックしてグループをリネームします"
"Double click on above image to view full picture","ダブルクリックすると大きな画像を表示します。"
"Duplicate","複製"
"Duplicate website tier price customer group and quantity.","ウェブサイトの価格階層設定を顧客グループと数量で複製する"
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Edit","編集"
"Edit Attribute Set '%s'","属性セット '%s'を編集"
"Edit Product Attribute","商品属性の編集"
"Edit Product Attribute ""%s""","商品属性 ""%s""を編集"
"Edit Search","検索の編集"
"Edit Search '%s'","検索 '%s'編集"
"Edit Set Name","Edit Set Name"
"Email","メール"
"Email template is not specified by administrator","Email template is not specified by administrator"
"Email to %s was not sent","Email to %s was not sent"
"Email to a Friend","友達にメールする"
"Empty","空"
"Enable WYSIWYG","Enable WYSIWYG"
"Enabled","有効"
"Error during retrieval of option value: %s","オプションの値を取得中にエラーが発生しました: %s"
"Error while adding customers for %s alert. Message: %s","%sのアラートに顧客を追加中にエラーが発生しました。メッセージ: %s"
"Error while saving Attribute Set.","Error while saving Attribute Set."
"Error while saving search query. Please try again later.","Error while saving search query. Please try again later."
"Error while saving this group. Group with the same name already exists.","グループの保存中にエラーが発生しました。同じ名前のグループが既に存在します。"
"Error while saving this group. Please try again later.","グループの保存中にエラーが発生しました。やり直してください。"
"Exclude","除外"
"Expand All","すべてを拡大"
"Failed","失敗"
"Failed to move file: %s","ファイルの移動に失敗しました。: %s"
"Feature Products","商品の特徴"
"Field is not complete","Field is not complete"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","フィルターモデル名を指定する必要があります"
"Filter must be as object. Set correct filter please","フィルタはオブジェクトでなくてはいけません。正しいフィルタをセットしてください。"
"Filterable (no results)","フィルタ可能 (結果なし)"
"Filterable (with results)","フィルタ可能 (結果あり)"
"Filters must be as array","フィルタは配列でなくてはいけません"
"First Name","名"
"Fixed","固定"
"Flat Catalog module has a limit of %2\$d filterable and/or sort able attributes. Currently there are %1\$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2\$d filterable and/or sort able attributes. Currently there are %1\$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For reindex enabled product(s) you need specify store or product","再インデックスを有効にするには、店舗または商品を指定する必要があります。"
"Frontend","フロントエンド"
"Frontend Model","フロントエンドモデル"
"Frontend Properties","フロントエンドプロパティ"
"Gallery","ギャラリー"
"General Information","総合情報"
"Get special price","特別価格を得る"
"Global","全般"
"Globally Editable","全体で編集可能"
"Go to Home Page","ホームへ"
"Grid","グリッド"
"Grouped Product","グループ化商品"
"Groups","グループ"
"Home","ホーム"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","画像"
"Image content is not valid base64 data.","画像コンテンツは妥当なBase64データではありません。"
"Image file not found","イメージファイルが見つかりません"
"Image not exists","画像は存在しません"
"Image not specified.","画像が指定されていません。"
"Image type and information need to be specified for each store view.","画像タイプと情報はそれぞれのストアビューで特定となる必要があります。"
"In Stock","在庫あり"
"In stock","在庫あり"
"Incl. Tax","税込み"
"Index product and categories url rewrites","Index product and categories url rewrites"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Index product prices"
"Indexed category/products association","Indexed category/products association"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","入力形式"
"Integer","整数"
"Invalid Tier Prices","不正な価格階層"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","%s (%s)の不正なオプションの属性があります。レコードをスキップします。"
"Invalid attribute set specified, skipping the record","不正な属性があります。レコードをスキップします。"
"Invalid block: %s","不正なブロック: %s"
"Invalid category","無効なカテゴリ"
"Invalid category IDs","不正なカタログID"
"Invalid image file type","無効なイメージファイルタイプ です"
"Invalid image type.","不正な画像形式です"
"Invalid option id specified for %s (%s), skipping the record","%s (%s)の不正なオプションIDがあります。レコードをスキップします。"
"Invalid product type specified, skipping the record","不正なタイプがあります。レコードをスキップします。"
"Invalid store specified","不正なストア特定"
"Invalid store specified, skipping the record","不正な店舗があります。レコードをスキップします。"
"Invalid tier prices. Product is not associated to the requested website.","Invalid tier prices. Product is not associated to the requested website."
"Invalid transactional email code","Invalid transactional email code"
"Inventory","在庫"
"Is Default","ディフォルトにする"
"Is Required","必須？"
"Items %s to %s of %s total","%s件～%s件 (全%s件)"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","カタログ、検索結果に表示したくない商品は希望のストアでステータスを""無効""にしてください。"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","ラベル"
"Last Name","姓"
"Last Notification","最終通知"
"Learn More","もっと知る"
"Length of text is too long","テキストが長すぎます"
"Line %d, Email: %s","ライン %d, Email: %s"
"Line %d, SKU: %s","ライン %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","関連商品 (おすすめ, アップセル, クロスセル)"
"Link product not exists.","関連商品がありません。"
"Link to a Specified Category","Link to a Specified Category"
"Link to a Specified Product","Link to a Specified Product"
"List","リスト"
"List Mode","リストモード"
"List of Products that are set as New","List of Products that are set as New"
"Manage Attribute Sets","属性セット管理"
"Manage Attributes","属性管理"
"Manage Catalog Categories","カタログカテゴリ管理"
"Manage Categories","カテゴリ管理"
"Manage Label / Options","ラベル/オプション管理"
"Manage Options (values of your attribute)","オプション管理 (属性の値)"
"Manage Product Attributes","商品属性管理"
"Manage Product Sets","商品セット管理"
"Manage Products","商品管理"
"Manage Stock","在庫管理"
"Manage Titles (Size, Color, etc.)","タイトル管理(サイズ,色, etc.)"
"Max Characters","最大文字数"
"Maximal Depth","最大階層"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","カートに入る最大個数"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters:","Maximum number of characters:"
"Media Image","メディアイメージ"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","カートに入る最小個数"
"Minimum Qty for Item\'s Status to be Out of Stock","商品の状態を在庫切れとする最低数"
"Missing SKU, skipping the record","SKUが見つかりません。レコードをスキップします。"
"More Views","もっと見る"
"Move","移動"
"Move category in tree","カテゴリをツリー内で移動する"
"Name","名前"
"Name In %s","%sの名前"
"Name<br/>(For internal use)","名前<br/>(内部で使用)"
"New Category","新規カテゴリ"
"New Product","新規商品"
"New Product Attribute","新規商品属性"
"New Products","新製品"
"New Products Grid Template","New Products Grid Template"
"New Products List Template","New Products List Template"
"New Search","新規検索条件"
"New Set Name","新規セット名"
"Next","次へ"
"No","いいえ"
"No image","画像なし"
"No layout updates","更新するレイアウトがありません"
"No options of this product are available.","利用可能なオプションがありません。"
"No product collections found","製品コレクションが見つかりません"
"None","なし"
"Not Visible Individually","Not Visible Individually"
"Not defined Product Type for Indexer","Not defined Product Type for Indexer"
"Notify Low Stock RSS","在庫僅か通知RSS"
"Notify for Quantity Below","以下の数量以下になれば通知"
"Number of Products to Display","Number of Products to Display"
"Number of Uses","使用数"
"Number of results<br/>(For last time placed)","結果件数<br/>(最終時間から)"
"OR","または"
"Old Price:","旧価格:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","オプション:"
"Options Control","オプション管理"
"Options is required","必須のオプション"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","在庫切れ"
"Out of stock","在庫切れ"
"PM","PM"
"Page Title Separator","ページタイトルセパレータ"
"Parent Category","親カテゴリ"
"Pending","処理待ち"
"Pending Reviews RSS","レビュー待ちRSS"
"Percentage","割合"
"Please add rows to option.","オプションに列を加えてください。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","列上でクリックしないように気をつけてください。選択されたパッケージデータフォームはロードされ、保存されていないフォームデータは失われてしまいます。"
"Please click on Close Window button if it won\'t be closed automatically","自動でウインドウが閉じない場合はクリックして閉じてください。"
"Please enter a new group name","新しいグループの名前を入力してください"
"Please refresh ""Catalog Url Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Please refresh ""Catalog Url Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>"
"Please select  items","アイテムを選択してください。"
"Please select one or more attributes.","ひとつ以上の属性を選択してください"
"Please select product(s)","商品を選択してください。"
"Please select products for attributes update","更新対象の商品属性を選択してください"
"Please select static block ...","静的ブロックを選択してください"
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","商品のオプションを指定してください"
"Please specify the product required option(s)","商品の必須オプションを指定してください"
"Please specify the product(s) quantity","商品の個数を指定してください"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","位置"
"Position In Layered Navigation","階層ナビゲーション内での位置"
"Position of attribute in layered navigation block","レイアウトナビゲーションブロックの位置属性"
"Prev","前へ"
"Previous","前へ"
"Price","価格"
"Price Type","価格タイプ"
"Price is not available","Price is not available"
"Price values for options should be specified in system base currency.","価格オプションはシステム基準通貨で指定する必要があります。"
"Price:","価格:"
"Print This Page","ページを印刷する"
"Problem saving the collection, aborting. Error: %s","コレクションを保存中にエラーが発生しました: %s"
"Product","商品"
"Product %s successfully added to compare list","%sを比較リストに追加しました"
"Product %s successfully removed from compare list","商品%sは比較リストから正常に削除されました"
"Product API","商品API"
"Product Alerts","商品アラート"
"Product Attribute","商品属性"
"Product Attributes","製品の属性"
"Product Categories","商品カテゴリ"
"Product Description","商品の説明"
"Product Flat Data","Product Flat Data"
"Product Image Placeholders","商品画像プレースホルダ"
"Product Image Watermarks","商品画像ウオーターマーク"
"Product Images","商品画像"
"Product Images API","商品画像API"
"Product In Websites","ウェブサイト内の商品"
"Product Info Column","商品情報行"
"Product Information","商品情報"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Product Name","商品名"
"Product Prices","Product Prices"
"Product Reviews","商品レビュー"
"Product Tags","商品タグ"
"Product Tier Price API","商品価格階層API"
"Product Type","商品種別"
"Product URL Suffix","商品URL接尾辞"
"Product attribute sets API","商品属性セットAPI"
"Product attribute was successfully deleted","商品属性を削除しました。"
"Product attribute was successfully saved","商品属性を保存しました。"
"Product attributes API","商品属性API"
"Product collection expected","製品の回収と予想"
"Product deleted","商品を削除しました"
"Product duplicated","商品を複製しました"
"Product has required options","商品は必須オプションがあります"
"Product links API (related, cross sells, up sells)","商品関連API (おすすめ,クロスセル,アップセル)"
"Product listing sort by","Product listing sort by"
"Product saving error. ","製品保存エラー "
"Product types API","商品タイプAPI"
"Product was successfully created.","商品は正常に作成されました。"
"Product was successfully saved.","商品は正常に保存されました。"
"Product with this combination of attributes already associated to configurable.","この属性の組み合わせの商品はすでに作成されています"
"Products","商品"
"Products Information","商品情報"
"Products Reviews","商品レビュー"
"Products Sitemap","商品サイトマップ"
"Products only","商品のみ"
"Products per Page on Grid default value","標準のグリッド表示のページあたりの商品件数"
"Products per Page on List allowed values","リスト上のページごとの製品の価格を決定する＊"
"Products per Page on List default value","標準のリスト表示のページあたりの商品件数"
"Products per page on Grid allowed values","格子上のページごとの製品の価格を決定する＊"
"Properties","プロパティ"
"Qty","個数"
"Qty Uses Decimals","個数に十進表記を使う"
"Qty for Item\'s Status to become Out of Stock","アイテムステータスのQty＊"
"Qty:","Qty:"
"Quick Create","クイック作成"
"Quick Overview","商品の概要"
"Quick simple product creation","クイックシンプル商品作成"
"Records for ""","""のレコード"
"Redirect","リダイレクト"
"Redirect URL","リダイレクトURL"
"Regular Price:","通常価格:"
"Related Products","関連する商品"
"Remove","削除"
"Remove Product From Websites","Webサイトから商品を削除"
"Remove This Item","商品の削除"
"Remove product assignment","削除商品の割り当て"
"Remove product image","商品画像の削除"
"Remove product link","商品関連の削除"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Reset","リセット"
"Results","結果"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","属性リストの復元"
"Retrieve attribute options","属性オプションの復元"
"Retrieve categories tree","カテゴリーツリーを回復"
"Retrieve category attributes","カテゴリ属性の復元"
"Retrieve category data","カテゴリデータの復元"
"Retrieve hierarchical tree","階層ツリーの復元"
"Retrieve linked products","関連商品の復元"
"Retrieve list of assigned products","割り当て済み商品リストの復元"
"Retrieve one level of categories by website/store view/parent category","ウェブサイト/店舗 ビュー/親カテゴリの1階層カテゴリの復元"
"Retrieve product","商品の復元"
"Retrieve product attribute sets","商品属性セットの復元"
"Retrieve product image","商品画像の復元"
"Retrieve product image list","商品画像リストの復元"
"Retrieve product image types","商品画像タイプの復元"
"Retrieve product link type attributes","商品関連属性の復元"
"Retrieve product link types","商品関連タイプの復元"
"Retrieve product tier prices","商品価格階層の復元"
"Retrieve product types","商品タイプの復元"
"Retrieve products data","製品データを回復"
"Retrieve products list by filters","フィルタによる商品リス他の復元"
"Review has been successfully saved","Review has been successfully saved"
"Review successfully deleted","レビューを削除しました"
"Review was removed by another user or does not exists","Review was removed by another user or does not exists"
"Review was successfully saved","レビューを保存しました"
"Reviews","レビュー"
"Roll Over for preview","プレビューのロールオーバー"
"Root","ルート"
"SKU","商品番号"
"Save","保存"
"Save And Continue Edit","保存して続ける"
"Save Attribute","保存"
"Save Attribute Set","保存"
"Save Category","保存"
"Save Search","保存"
"Saved ","保存 "
"Scope","スコープ"
"Search","検索"
"Search Engine Optimizations","検索エンジン最適化"
"Search Information","検索情報"
"Search Query","検索条件"
"Search Term with such search query already exist.","そのサーチクエリのサーチ用語はすでに存在します"
"Search was successfully deleted","検索設定を削除しました"
"Searchable","検索可能"
"Select Category...","Select Category..."
"Select Configurable Attributes ","設定可能な属性を選択"
"Select Product...","Select Product..."
"Select type of option","オプションタイプの選択"
"Select type options required values rows.","価格の列を要求されたタイプオプションを選択"
"Selected Product Types","選択された商品タイプ"
"Selected configuration is not available.","選択した設定は利用できません。"
"Send Count","カウント送信"
"Set Ascending Direction","昇順"
"Set Descending Direction","降順"
"Set Name","セット名"
"Set Root Category For Store","店舗の基本カテゴリに設定"
"Set root category for this store in the <a href=""%s"">configuration</a>","このストアのルートカテゴリを<a href=""%s"">設定</a>"
"Set special price","特別価格の設定"
"Set/Get current store view","現在の店舗を設定/取得"
"Settings","設定"
"Shop by","店舗"
"Shopping Options","ショッピングオプション"
"Show","表示"
"Show Details","詳細を見る"
"Show Tags","タグを見る"
"Simple Product","シンプル商品"
"Site Map","サイトマップ"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","インポート業をスキップ、""%s""はフィールド""%s""で正しい値ではありません"
"Skip import row, required field ""%s"" for new customer not defined","インポート行をスキップ、新しい顧客に必要なフィールド""%s""が定義されていません"
"Skip import row, required field ""%s"" for new products not defined","行のインポートをスキップします、新しい商品に必要なフィールド""%s""が定義されていません"
"Skip import row, required field ""%s"" not defined","行のインポートをスキップしました、必要はフィールド""%s""が定義されていません"
"Skip import row, store ""%s"" field not exists","行のインポートをスキップします、""%s""フィールドが存在しません"
"Some of the products below don\'t have all the required options. Please remove them and add again with all the required options.","Some of the products below don\'t have all the required options. Please remove them and add again with all the required options."
"Sort Order","並び順"
"Sort by","並び順"
"Source Model","ソースモデル"
"Special Price:","特別価格:"
"Starting at:","開始日:"
"Static","静的"
"Static block and products","静的ブロックと商品"
"Static block only","静的ブロックのみ"
"Status","状態"
"Stock Availability","在庫の有無"
"Store","店舗"
"Store View","ストアビュー"
"Stretch","拡大"
"Subscribe to RSS Feed","RSSフィードを購読する"
"Super product attributes configuration","親商品の属性を設定"
"Synonym For","別名"
"Synonym for","別名"
"System Properties","システムプロパティ"
"Tag Name","タグ名"
"Tax","税"
"Template","Template"
"Text","テキスト"
"There are no %s available.","%sは利用できません。"
"There are no customers for this alert","このアラートに顧客は登録されていません。"
"There are no products matching the selection.","条件にマッチする商品はありません。"
"There was an error while adding products to websites","ウェブサイトに商品を追加中にエラーが発生しました"
"There was an error while cleared compare list","比較リストをクリア中にエラーが発生しました"
"There was an error while removing products from websites","ウェブサイトから商品を削除中にエラーが発生しました"
"There was an error while updating product(s) attributes","商品属性の更新中にエラーが発生しました。"
"There was an error while updating product(s) status","商品ステータスを更新中にエラーが発生しました"
"This Attribute no longer exists","This Attribute no longer exists"
"This Product no longer exists","This Product no longer exists"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","This attribute is used in configurable products. You cannot remove it from the attribute set."
"This attribute no longer exists","この属性は存在していません。"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","このグループは設定できる商品の中で使われた属性を含んでいます。これらの属性を他のグループに移し、もう一度試してください。"
"This group contains system attributes. Please move system attributes to another group and try again.","グループはシステム属性を含んでいます。システム属性を他のグループに移した後にやり直してください。"
"This is a required option","This is a required option"
"This search no longer exists","この検索条件は存在していません。"
"Tier Pricing","価格層"
"Tile","タイル"
"Time format","日付フォーマット"
"Title","タイトル"
"Top/Left","上/左"
"Top/Right","上/右"
"Total Qty Base Items","トータルクオリティベースアイテム"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","合計%d件のレコードを削除しました。"
"Total of %d record(s) were successfully updated","合計%d件のレコードを更新しました。"
"Type","タイプ"
"URL Rewrite Management","URL Rewrite Management"
"URL rewrite save problem.","URL rewrite save problem."
"Unable to complete request. Please try again later.","リクエストを完了できませんでした。やり直してください。"
"Unable to find a search term to delete","削除する検索語が見つかりません"
"Unable to find an attribute to delete","削除対象の属性がありません。"
"Unable to get product id.","商品IDを取得できません。"
"Unassigned Attributes","未割り当ての属性"
"Unknown attribute: %s","不明な属性: %s"
"Unknown eav indexer type ""%s""","Unknown eav indexer type ""%s"""
"Unsupported product type ""%s""","Unsupported product type ""%s"""
"Up-sells","アップセル商品"
"Update","更新"
"Update Attributes","Update Attributes"
"Update Tier Price","列価格をアップでート"
"Update assigned product","割り当てた商品を更新"
"Update attributes","属性の更新"
"Update category","カテゴリを更新"
"Update product","商品を更新"
"Update product image","商品画像を更新"
"Update product link","商品関連を更新"
"Update product tier prices","商品価格階層を更新"
"Upload new product image ","新しい商品画像をアップロード"
"Url Rewrite Management","URL書き換え管理"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Use Config Settings","標準設定を使用する"
"Use Default Value","ディフォルト値を使う"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","階層ナビゲーションで使用する。"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","階層ナビゲーションで使用する。<br/>('ドロップダウン'型カテゴリでのみ使用できます)"
"Use In Search Results Layered Navigation","Search Results Layered Navigationを使用"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","設定可能商品を使って作成する"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","カテゴリのパスを商品URLに使用する"
"Use default","Use default"
"Use for Price Rule Conditions","Use for Price Rule Conditions"
