"Authenticated, Bad Result","認証否認"
"Authenticated, Good Result","認証承認"
"Authorization","認証"
"Authorization transaction is required to void.","無効化のためには承認されたトランザクションが必要です。"
"Auto","自動"
"AutoSweep","自動スイープ"
"Available Balance","現在残高"
"Balance Manager Account Bonus","Balance Managerアカウント割引"
"Billing Address","購入者住所"
"Billing Agreement Signup ","支払契約サインアップ"
"Billing Information","購入者情報"
"Bonus for first ACH Use","最初のACH（電子小切手決済）使用割引"
"Buyer Credit Payment","購入者クレジット支払い"
"By default it is ""reports.paypal.com"".","初期値は ""reports.paypal.com""."
"Cannot create target file for reading reports.","レポートのためのファイルを作成出来ません"
"Centinel API URL","3Dセキュア API URL"
"Centinel Api URL","3Dセキュア API URL"
"Centinel Custom Api URL","3Dセキュア カスタム Api URL"
"Change Payment Method","支払方法変更"
"Change Shipping Address","お届け先変更"
"Charge-off","貸倒償却"
"Chargeback","支払い拒否"
"Chargeback by customer.","顧客による支払い拒否"
"Checkout with PayPal","PayPalチェックアウト"
"Completion Date","完了日付"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","新しいレポートを取得するためにPayPal SFTPサーバーに接続しようとしています。このまま続けますか？"
"Countries Payment Applicable From","支払い可能な国"
"Coupon Redemption","クーポンの償還"
"Credit","クレジット"
"Credit Card Settings","クレジットカードの設定"
"Currency Conversion required to cover negative balance","マイナス収支の埋め合わせのための為替レートが必要です"
"Custom","カスタム"
"Custom Endpoint Hostname or IP-Address","カスタムエンドポイントのホスト名またはIPアドレス"
"Custom Path","カスタムパス"
"Customer complaint.","顧客からの苦情"
"Customer did not include a confirmed address.","確認済みの住所を持たない顧客"
"Customer triggered a money-back guarantee.","顧客による返金保証要求"
"CVV2 Check Result by PayPal","PayPalからのCVV2クレジットカード・セキュリティコード確認結果"
"Daily","毎日"
"Debit","デビット"
"Debit Card Cash Back","デビットカードキャッシュバック"
"Debit Card Transaction","デビットカードトランザクション"
"Debit or Credit","デビットカード、またはクレジットカード"
"Debug Mode","デバッグモード"
"Direct Payment API","ダイレクトペイメントAPI"
"Discount","割引価格"
"Discount Tax","税金値引き"
"Displays on catalog pages and homepage.","ホームページとカタログページへの表示"
"Does not work if there are more than 10 shipping options available.","10以上の発送オプションがあると機能しません"
"Don't have a PayPal account? Simply enter your email address.","PayPalアカウントを持っていませんか？メールアドレスを入力してください。"
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","PayPalのマーチャントアカウントをお持ちではないですか？Payflow Proゲートウェイを使ってカード支払いを受け付けできます。"
"Dynamic","可変"
"eBay Auction Payment","eBayオークション支払い"
"Edit Shopping Cart","カートの内容を変更する"
"EFT Funding (German banking)","EFT入金（ドイツの銀行）"
"Email Associated with PayPal Merchant Account","PayPal出店者アカウントにひもづいたメールアドレス"
"Enable Automatic Fetching","自動取得を有効する"
"Enable PayPal Guest Checkout","PayPalゲストチェックアウトを有効にする"
"Enabled","有効"
"Event","イベント"
"Event Code","イベントコード"
"Every 10 days","１０日毎"
"Every 14 days","２週間毎"
"Every 3 days","３日毎"
"Every 30 days","３０日毎"
"Every 40 days","４０日毎"
"Every 7 days","毎週"
"Exact Match. Address and nine-digit ZIP code","９桁郵便番号と住所の完全一致"
"Exact Match. Address and Postal Code. International","郵便番号と住所の完全一致"
"Exact Match. Address and Postal Code. UK-specific","郵便番号と住所の完全一致"
"Express Checkout","エキスプレス・チェックアウト"
"Express Checkout (Payflow Edition) Settings","エキスプレス・チェックアウト（PayFlow Edition）設定"
"Express Checkout and Order have been canceled.","注文はキャンセルされました、エキスプレス・チェックアウト"
"Express Checkout APIs","エキスプレス・チェックアウト APIs"
"Express Checkout has been canceled.","エキスプレス・チェックアウトは、キャンセルされました"
"Express Checkout Settings","エキスプレス・チェックアウト設定"
"Failed to fetch reports from '%s@%s'.","レポートの取得に失敗しました"
"Fee Amount","手数料合計"
"Fee Debit or Credit","手数料引き落し、または控除"
"Fee Reversal","手数料払い戻し"
"Fee: Foreign ACH Withdrawal","手数料：海外送金(ACH)引き落し"
"Fee: Mass Pay Request","手数料：一括払い"
"Fee: Web Site Payments Pro Account Monthly","手数料：Web Site Payments Proアカウント月額"
"Fee: WorldLink Check Withdrawal","手数料：WorldLink Check引き落し"
"Fetch","取得"
"Fetch Updates","取得更新"
"Fetched %s report rows from '%s@%s'.","～から％行取得"
"Frontend Experience Settings","Frontend Experience 設定"
"Funding","入金"
"General (Authorization)","一般（承認）オーソリゼーション"
"General (Dividend)","一般（配当）"
"General (Funds Transfer from PayPal Account to Another)","一般（PayPalアカウントから他への送金）"
"General (Purchase with a credit card)","一般（クレジットカードでの購入）"
"General Adjustment without businessrelated event","業務イベントがない一般的調整？"
"General Currency Conversion","一般通貨換算、両替"
"General Funding of PayPal Account ","PayPalアカウントの送金"
"General Redemption","一般引き換え"
"General Withdrawal from PayPal Account","PayPalアカウントからの引き落し"
"General: adjustment of a type not belonging to the other T12xx categories","一般：他のT12xxカテゴリに属さないタイプの調整"
"General: bonus of a type not belonging to the other T08xx categories","一般：他のT08xxカテゴリに属さないタイプの割引"
"General: event not yet categorized","一般：分類されていないイベント"
"General: non-payment fee of a type not belonging to the other T01xx categories","一般：他のT01xxカテゴリに属さないタイプの支払いが無い手数料"
"General: received payment of a type not belonging to the other T00xx categories","一般：他のT00xxカテゴリに属さないタイプの受け取った支払"
"General: reversal of a type not belonging to the other T11xx categories","一般：他のT11xxカテゴリに属さないタイプの払い戻し"
"General: temporary hold of a type not belonging to the other T15xx categories","一般：他のT15xxカテゴリに属さないタイプの一時保留"
"General: Use of PayPal account for purchasing as well as receiving payments","一般：支払いの受取と購入に使用するPayPalアカウント"
"General: Withdrawal from PayPal Account","一般：PayPalからの退会"
"General: Withdrawal to Non-Bank Entity","一般：銀行以外からの引き落し"
"General. Product no longer supported","一般：サポート停止プロダクト"
"Get Credentials from PayPal","PayPalからの認証情報取得"
"Gift Certificate Payment: purchase of Gift Certificate","ギフトカード支払：ギフトカード証書の購入"
"Gift Certificate Redemption","ギフトカード証書の引き換え"
"Gross Amount","合計金額"
"Header Background Color","ヘッダ背景色"
"Header Border Color","ヘッダ境界線色"
"Header Image URL","ヘッダイメージURL"
"Help","ヘルプ"
"Hidden Virtual PayPal Debit Card Transaction","隠しPayPalデビットカード取引、トランザクション"
"Hold for Dispute Investigation","係争調査による保留"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","未入力の場合、Cardinal Commerce社からのカスタムURLが初期値として使用されます"
"If not specified, Default Country from General Config will be used","指定が無ければ、一般設定の初期設定国が使用されます"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","このオプションを有効化すると、顧客はPayPalウェブサイト上のhttpsプロトコルのみでサポートされるライブモードで発送方法や発送先住所を変更出来ます。"
"Impossible to issue a refund transaction because the capture transaction does not exist.","該当する取引が存在しないため、払い戻しを処理出来ません。"
"Incentive","インセンティブ"
"Initiation Date","加入日"
"Invoice ID","請求書番号"
"IPN ""%s"".","IPN（即時支払い通知）"
"Issuer Liability","発行者の義務、法的責任"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","ストアビュー毎にこの値を「デビットカードまたはクレジットカード」に設定する事を推奨します。"
"It is recommended to set this value to ""PayPal"" per store views.","ストアビュー毎にこの値を「PayPal」に設定する事を推奨します。"
"Items in Your Shopping Cart","カートの中身"
"Last Correlation ID","最新相関ID"
"Last Transaction ID","最新トランザクションID,"
"Learn More","もっと詳しく"
"Login","ログイン"
"Looking for PayPal? We have our own tab to the left under Sales.","PayPalをお探しですか？Salesの左下のタブから使えます"
"Mass Pay Payment","一括支払い"
"Matched (CVV2)","CVV2クレジットカード・セキュリティコード合致"
"Matched (CVV2CSC)","CVV2CSCクレジットカード・セキュリティコード合致"
"Matched Address only (no ZIP)","住所合致（郵便番号無し）"
"Matched Address only (no ZIP). International","住所合致（郵便番号無し）国際"
"Matched five-digit ZIP only (no Address)","５桁郵便番号合致（住所無し）"
"Matched Postal Code only (no Address)","郵便番号合致（住所無し）"
"Matched whole nine-didgit ZIP (no Address)","９桁郵便番号合致（住所無し）"
"Merchant Account","出店者アカウント"
"Merchant Country","出店者国"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","米国外出店者、引き落し方法がありません"
"Merchant Liability","出店者義務、法的責任"
"Merchant Protection Eligibility","出店者保護資格"
"Merchant reference ID format is not supported.","出店者参照IDがサポートされていません"
"Merchant Referral Bonus","出店者紹介値引"
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","支払承諾機能を有効化するにはPayPalへの申込が必要です。PayPalが確認するまでこのオプションを有効にしないでください。"
"Mobile Payment (made via a mobile phone)","携帯電話支払（携帯電話から作成）"
"N/A. Address not checked, or acquirer had no response. Service not available","該当無し：住所が確認出来ません、またはカード会社からレスポンスがありません、サービス停止中です"
"N/A. Global Unavailable","該当無し：グローバル停止中"
"N/A. International Unavailable","該当無し：国際停止中"
"N/A. Merchant has indicated that CVV2 is not present on card","該当無し：クレジットカード・セキュリティコードがありません"
"N/A. No response","該当無し：レスポンスがありません"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","該当無し：クレジットカード番号と有効年月だけの取扱いはしておりません"
"N/A. Not processed","該当無し：処理されません"
"N/A. Retry","該当無し：再実行"
"N/A. Service not available","該当無し：サービス停止中"
"N/A. Service not Supported","該当無し：このサービスはサポートされていません"
"N/A. Service not supported","該当無し：このサービスはサポートされていません"
"N/A. The merchant did not provide AVS information","該当無し：出店者はAVS（住所確認）情報を提供していません"
"N/A. The merchant has not implemented CVV2 code handling","該当無し：出店者はCVV2クレジットカード・セキュリティコードを処理出来ません"
"N/A. Unavailable","該当無し：停止中"
"Negative Balance","赤字、マイナス収支"
"Never","まだ"
"No","No"
"No Details matched","詳細情報の不一致"
"No Details matched. International","詳細情報の不一致、国際"
"No Liability Shift","責任所在の非移動"
"No Logo","ロゴ無し"
"No match","不一致"
"None of the address information matched","住所が合致しません"
"Note: %s","備考"
"Nothing to fetch because of an empty configuration.","設定されていないため取得出来ません"
"Notified customer about creditmemo #%s.","割り戻し、引き換え金、通知済み顧客？"
"Notified customer about invoice #%s.","請求済み顧客"
"Now accepting PayPal (150 X 40)","PayPalで承認されました"
"Now accepting PayPal (150 X 60)","PayPalで承認されました"
"Open Authorization","与信が設定されました"
"Order","受注"
"Order ID","注文番号"
"Page Background Color","ページ背景色"
"Page Style","ページの様式"
"Part of the address information matched","住所の部分一致"
"Partner","パートナー"
"Password","パスワード"
"Payer Address ID","支払者住所ID"
"Payer Address Status","支払者住所ステータス"
"Payer Email","支払者メール"
"Payer Email: %s","支払者メール"
"Payer ID","支払者ID"
"Payer is not identified.","支払者が確認出来ませんでした"
"Payer Status","支払者ステータス"
"Payflow Pro Gateway","Payflow Pro ゲートウェイ"
"Payflow Pro Settings","Payflow Pro 設定"
"Payment Action","支払アクション"
"Payment Applicable From","支払申込書"
"Payment Method","支払方法"
"Payment Refund initiated by merchant","出店者による払い戻し"
"Payments by PayPal (150 X 40)","PayPalで支払"
"Payments by PayPal (150 X 60)","PayPalで支払"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","PayPalアカウントのPayPal Balance Manager 機能"
"Paypal Billing Agreement Settings","PayPal支払承諾設定"
"PayPal Buyer Warranty Bonus","PayPal支払者保証割引"
"PayPal Debit Card Cash Advance","PayPalデビットカード現金前払い"
"PayPal Debit Card Withdrawal from ATM","PayPalデビットカードATM引き落し"
"PayPal Express Checkout Token does not exist.","PayPalエキスプレスチェックアウトトークンがありません"
"PayPal Express Order Review Form","PayPalエキスプレスオーダー確認フォーム"
"PayPal Fee Information","PayPal手数料情報"
"PayPal gateway has rejected request. %s","PayPal ゲートウェイが要求を拒否しました"
"PayPal Merchant Pages Style","PayPal出店者ページスタイル"
"PayPal processes all of your orders, and you get paid.","PayPalは全ての注文を処理しましたので、支払われます"
"PayPal Product Logo","PayPalプロダクトロゴ"
"PayPal Protection Bonus","PayPal 保護割引"
"PayPal Reference ID","PayPal  照会ID"
"PayPal Reference ID Type","PayPal  照会IDタイプ"
"PayPal retains reports for 45 days.","PayPalは４５日間レポートを保存しています"
"PayPal Settlement Reports","PayPal決済レポート"
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel ECインジケータ"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa 支払認証サービス結果"
"Pending PayPal","PayPalの保留"
"Place Order","発注"
"Please select a shipping method...","配送方法を選択してください"
"Points Incentive Redemption","買い物ポイントの償還"
"Postage Payment to either USPS or UPS","USPSまたはUPSの送料支払"
"Preapproved Payment (BillUser API), either sent or received","事前承認済支払 (BillUser API), が送られました、または受領しました"
"Preapproved Payment ID","事前承認済支払ID"
"Price","価格"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","PayPalのオンライン決済ソリューションを使ってウェブサイトからのカード支払いを直接処理しましょう。"
"Product Name","商品名"
"Proxy Host","プロキシホスト"
"Proxy Port","プロキシポート"
"Qty","個数"
"Reauthorization","再与信"
"Reference Information","参照情報、委託情報"
"Refund issued by merchant.","出店者からの再入金"
"Reimbursement for a chargeback.","支払拒否の補償"
"Reimbursement of Chargeback","支払拒否の補償"
"Report Date","レポート年月日"
"Reports","レポート"
"Require CVV Entry","セキュアコード入力が必要です"
"Reversal","取り消し"
"Reversal of an adjustment.","調整の取り消し"
"Reversal of General Account Hold","講座の取り消し"
"Reversal of hold for Dispute Investigation","係争調査の保留取り消し"
"Reversal of Points Usage","買い物ポイント使用の取り消し"
"Review Order","注文の確認"
"Reward Voucher Redemption","割引券の引き換え"
"Sale","セール"
"Sales","販売"
"Sandbox Mode","保護モード"
"Schedule","スケジュール"
"Schedule description is too long.","スケジュールディスクリプションが長過ぎます"
"Scheduled Fetching","定期的取得"
"Select a PayPal Solution","PayPalソリューションを選択"
"Settlement Consolidation","決済の統合"
"Settlement of a chargeback.","支払拒否の清算"
"Settlement Report Settings","決済レポート設定"
"Severe 3D Secure Card Validation","厳格な3Dセキュアカード検査"
"Severe Validation Removes Chargeback Liability on Merchant","厳格な検査が出店者の支払拒否義務を取り払う？"
"Severe validation removes chargeback liability on merchant.","厳格な検査が出店者の支払拒否義務を取り払う？"
"SFTP Credentials","SFTP証明書"
"Shipping","配送"
"Shipping Address","配送先"
"Shipping Information","配送情報"
"Shipping Method","配送方法"
"Shop now using (150 X 40)","使用中"
"Shop now using (150 X 60)","使用中"
"Shortcut","ショートカット"
"Shortcut Buttons Flavor","ショートカットボタンの色"
"Shortcut on Product View","製品ビューでのショートカット"
"Shortcut on Shopping Cart","ショッピングカートでのショートカット"
"Sign a billing agreement to streamline further purchases with PayPal.","より便利なお買い物のためにPayPalの支払い許諾に同意をお願いします。"
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","申し訳ありません、在庫数が不足しております。"
"Sort Order","注文順"
"Static","静的"
"Submitting order information...","注文情報を送信しています。。。"
"Subscriber name is too long.","購読者名が長過ぎます"
"Subscription ID","購読者ID"
"Subscription Payment, either payment sent or payment received","購読料金、会費の支払、受領"
"Subtotal","小計"
"Summary Text for Aggregated Cart","カートの集計テキストサマリ"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","American Express カードのサポートは追加契約が必要です、詳しくは <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestroデビットカード"
"Test Mode","テストモード"
"The background color for the checkout page around the header and payment form.","チェックアウトページのヘッダと支払いフォームの背景色"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","チェックアウトページのヘッダ背景色、ASCII HTML hexadecimalカラーコード、ケースインテンシブ"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","チェックアウトページの上部左イメージ、最大サイズ 750x90-pixel. <strong style=""color:red"">https</strong> をお勧めします"
"The merchant account is not yet verified.","出店者アカウントが確認されていません"
"The payment curency does not match any of the merchant\'s balances currency.","支払通貨が出店者の通貨に合致しません"
"The payment eCheck is not yet cleared.","eCheckが決済出来ません"
"The payment is authorized but not settled.","支払は承認されましたが、決済されていません"
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","メールアドレスが確認されていないため支払が保留されています"
"The payment is pending while it is being reviewed by PayPal for risk.","PayPalが確認中のため支払が保留されています"
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.",""
"Time of Day","時間帯"
"Title","タイトル"
"Transaction ID","トランザクションID"
"Transaction Information","トランザクション情報"
"Transfer Cart Line Items","カートの１行を送信"
"Transfer Shipping Options","発送オプションを送信"
"Triggered Fraud Filters","不正防止フィルター"
"Unable to calculate cart line item totals.","カートの合計が計算出来ません"
"Unable to cancel Express Checkout.","エキスプレス・チェックアウトがキャンセル出来ません"
"Unable to communicate with the PayPal gateway.","PayPalゲートウェイと通信出来ません"
"Unable to initialize Express Checkout review.","エキスプレス・チェックアウト確認が初期化出来ません"
"Unable to initialize Express Checkout.","エキスプレス・チェックアウトが初期化出来ません"
"Unable to place the order.","注文ができません"
"Unable to process Express Checkout approval.","エキスプレス・チェックアウトの承認ができません"
"Unable to start Express Checkout.","エキスプレス・チェックアウトが開始出来ません"
"Unable to update shipping method.","発送方法が更新出来ません"
"Unknown reason. Please contact PayPal customer service.","原因不明です、PayPalカストマーサービスにご連絡ください"
"Update Shipping Method","配送方法を更新する"
"Use colon to specify port. For example: ""test.example.com:5224"".","ポートを指定するにはコロン「：」を使用してください、""test.example.com:5224"""
"Use Proxy","プロキシを使用する"
"User","ユーザー"
"User-initiated Currency Conversion","ユーザーによる通貨換算"
"Uses store frontend name by default.","ストアフロントエンド名をデフォルトにする"
"Vendor","ベンダー"
"View","ビュー"
"View Demo","ビューデモ"
"View PayPal solutions.","PayPalソリューションを見る"
"View Transaction","取引を見る"
"View Transaction Details","取引明細を見る"
"Virtual PayPal Debit Card Transaction","仮想PayPalデビットカード取引？"
"Virtual Terminal Payment","仮想端末からの支払"
"Void","無効"
"We prefer PayPal (150 X 40)","PayPalでお支払い"
"We prefer PayPal (150 X 60)","PayPalでお支払い"
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Website Payments Pro (Payflow Edition) 設定"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Payments Pro Payflow Edition (includes Express Checkout)"
"Website Payments Pro Settings","Website Payments Pro の設定"
"Website Payments Standard","Website Payments スタンダード"
"Website Payments Standard Payment","Website Payments スタンダード支払"
"Website Payments Standard Settings","Website Payments スタンダード設定"
"What is PayPal?","PayPalとは？"
"Whether to create a billing agreement, if there are no active billing agreements available.","支払承諾アカウントが無い場合、新たに作成するかどうか"
"Will appear as a payment option only for customers who have at least one active billing agreement.","最低一つ以上の支払承諾アカウントがある顧客のみ、支払方法オプションが表示されます"
"WorldLink Withdrawal","WorldLink引き落し"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","PayPalで効果的な追加購買のために、支払承諾に申込しませんか？"
"Wrong PayPal Express Checkout Token specified.","不正なPayPalエキスプレス・チェックアウトトークンです"
"Yes","はい"
"Yes. Matched Address and five-didgit ZIP","はい、５桁の郵便番号と住所が合致"
"You will be redirected to the PayPal website in a few seconds.","数秒以内にPayPalウェブサイトに切り替わります"
"You will be redirected to the PayPal website when you place an order.","発注後PayPalウェブサイトに切り替わります"
"You will be redirected to the PayPal website.","PayPalウェブサイトに切り替わります"
