"%s already exist","%sはすでに存在しています"
"%s already exists","%sは既に存在しています"
"-- Please Select --","-- 選択して下さい --"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","このフィールドには記号以外の文字を入力してください。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","このフィールドには記号以外の文字を入力してください。"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","コードは半角英数字で先頭は半角英字でなくてはなりません。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","日付の形式は右の通りです: dd/mm/yyyy. （例： 17/03/2006 は 2006年3月17日）。"
"Please wait, loading...","読み込み中です"
"Polls","投票"
"Port (25)","ポート (25)"
"Profiler","プロファイラ"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","特定の店舗のリクエストパス"
"Requested invalid store ""%s""","正しくないストア ""%s""がリクエストされました"
"Resource is not set","リソースはセットされていません"
"Root Category","ルートカテゴリ"
"SMTP settings (Windows server only)","SMTP設定(Windowsサーバーのみ)"
"Sales representative","セールス担当者"
"Save","保存"
"Save Store","店舗を保存"
"Save Store View","店舗ビューを保存"
"Save Website","ウェブサイトを保存"
"Search Engines Optimization","検索エンジン最適化"
"Secure","セキュア"
"Security","セキュリティ"
"Select Date","日付を選択"
"Sender email","送信者メールアドレス"
"Sender name","送信者名"
"Services","サービス"
"Session Cookie management","セッションクッキー管理"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","セッション設定確認"
"Set as default","デフォルトとして設定"
"Skin (Images / CSS)","スキン(画像/CSS)"
"Sort order","注文並べ替え"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","指定された日付/時間の形式 ""%1$s"" が形式 ""%2$s"" と一致しません"
"Specify either category or product, or both.","カテゴリー、プロダクトまたは両方のいずれかを指定してください。"
"Start date can\'t be greater than end date","開始日を終了日より後ろにすることはできません"
"Startup page","開始ページ"
"Status","ステータス"
"Store","ストア"
"Store Email Addresses","店舗のメールアドレス"
"Store Information","ストア情報"
"Store Name","ストア名"
"Store View","ストアビュー"
"Store View Information","ストアビュー情報"
"Store View Name","ストアビュー名"
"Store View was successfully saved","ストアビューは正常に保存されました"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","ストアコードは英文字(a-z)、数字(0-9)、アンダースコア(_)のみ含める事ができます。最初の文字は英文字である必要があります。"
"Store doesn't exist","店舗が存在しません。"
"Store view doesn't exist","ストアビューが存在しません"
"Store view was successfully deleted.","ストアビューの削除が成功しました。"
"Store was successfully deleted.","ストアを削除しました。"
"Store was successfully saved","ストアは正常に保存されました"
"Store with the same code","同じコードのストアです"
"System","システム"
"System Log File Name","システムログファイル名"
"Template Path Hints","テンプレートパスヒント"
"Templates","テンプレート"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","あなたが入った( %s )は無効です。 ""http://domain.com/"" のフォーマットに沿っているか確認してください。"
"Themes","テーマ"
"This category and all its child elements","このカテゴリとその子要素すべて"
"This category and its child categories only","このカテゴリとその子カテゴリのみ"
"This category and its products only","このカテゴリと商品のみ"
"This category only","このカテゴリのみ"
"This is a required field.","必須項目です"
"This store cannot be deleted","店舗を削除する事はできません。"
"This store cannot be deleted.","店舗を削除する事はできません。"
"This store view cannot be deleted","ストアビューを削除する事はできません。"
"This store view cannot be deleted.","ストアビューを削除する事はできません。"
"This website cannot be deleted","ウェブサイトを削除する事はできません。"
"This website cannot be deleted.","ウェブサイトを削除する事はできません。"
"This will be displayed just before body closing tag","body終了タグの直前に表示されます"
"This will be included before head closing tag in page HTML","HTMLページ内でヘッダ終了タグの前に含まれます"
"Timezone","タイムゾーン"
"Title Prefix","タイトル"
"Title Suffix","タイトルをつける"
"Translate Inline","インライン翻訳"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","翻訳"
"Unable to delete store view. Please, try again later.","ストアビューを削除する事ができません。後でもう一度ためしてください。"
"Unable to delete store. Please, try again later.","ストアを削除する事ができません。後でもう一度ためしてください。"
"Unable to delete website. Please, try again later.","ウェブサイトを削除する事ができません。後でもう一度ためしてください。"
"Unable to proceed. Please, try again","処理できませんでした。後で再度お試しください。"
"Unknown scope ""%s""","未知のスコープ ""%s"""
"Unsecure","非セキュア"
"Url Options","URLオプション"
"Use HTTP Only","HTTPだけ使用可能"
"Use Secure URLs in Admin","セキュアURLを管理者ページで使用する"
"Use Secure URLs in Frontend","フロントエンドでセキュアURLを使う"
"Use Web Server Rewrites","ウェブサーバーリライトを使用する"
"Use custom admin URL","カスタム管理者URLを使用する"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENTを有効にしてください"
"Validate HTTP_VIA","HTTP_VIA を確認してください"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR を確認してください"
"Validate REMOTE_ADDR","REMOTE_ADDR を確認してください"
"Values less than 60 are ignored.","60以下の値は無視されます。"
"Web","ウェブ"
"Website","ウェブサイト"
"Website Information","ウェブサイト情報"
"Website Name","ウェブサイト名"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","ウェブサイトコードは英文字(a-z)、数字(0-9)、アンダースコア(_)のみ含める事ができます。最初の文字は英文字である必要があります。"
"Website doesn't exist","ウェブサイトが存在しません"
"Website was successfully deleted.","ウェブサイトは正常に削除されました。"
"Website was successfully saved","ウェブサイトは正常に保存されました"
"Website with the same code","同じコードのウェブサイトです"
"Weekend Days","週末"
"Welcome Text","ウェルカムテキスト"
"Wrong number of arguments for %s","誤った数の引数です:%s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","ご利用可能なお支払方法がないため、ご注文を完了することができません。"
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","セッションが切れました。再度ログインしてください。"
