"* Required Fields","* 必須項目"
"Invalid store specified, skipping the record","不正なストアです、レコードをスキップしています"
"Last Activity","最近の行動"
"Last Name","姓"
"Last Url","最近アクセスしたURL"
"Last date subscribed","最終購読日付"
"Last date unsubscribed","最終解除日付"
"Last name can\'t be empty","苗字は空白にできません。"
"Leave empty for default (15 minutes).","空白の場合は、初期値(15分)になります。"
"Leave empty for default (2). Valid range: 1-4","空白の場合は初期値(2)になります。 有効範囲: 1-4"
"Lifetime Sales","セール期間"
"Log In","ログイン"
"Log Out","ログアウト"
"Login","ログイン"
"Login Information","ログイン情報"
"Login Options","Login Options"
"Login and password are required","ログインとパスワードが必要です"
"Login or Create an Account","ログインまたはアカウント新規作成"
"M.I.","Ｍ.Ｉ."
"MM","ＭＭ"
"Manage Addresses","住所の管理"
"Manage Customers","顧客管理"
"Missing email, skipping the record","Eメールがありません。レコードをスキップします"
"Missing firstname, skipping the record","名がありません、レコードをスキップします"
"Missing lastname, skipping the record","姓が見つかりません、レコードをスキップします"
"Month","月"
"My Account","マイアカウント"
"My Dashboard","マイダッシュボード"
"My Orders","注文履歴"
"Name","名前"
"Name and Address Options","名前と住所のオプション"
"Never","まだ"
"New Address","新規住所"
"New Address Entry","住所新規登録"
"New Customer","新規顧客"
"New Customer Address","新規顧客住所"
"New Customer Group","新規顧客グループ"
"New Customer Groups","新規顧客グループ"
"New Customers","新規顧客"
"New Group","新規グループ"
"New Password","新しいパスワード"
"New account","新しいアカウント"
"New account confirmation key","新しいアカウントの確認キー"
"New account confirmed","新しいアカウント確認"
"New password","新しいパスワード"
"Newsletter","メールマガジン"
"Newsletter Finish","メールマガジン終了"
"Newsletter Information","メールマガジン情報"
"Newsletter Received","受信メールマガジン"
"Newsletter Start","メールマガジン評価t"
"Newsletter Subscription","ニュースレター購読"
"Newsletters","メールマガジン"
"No Items Found","商品が見つかりませんでした"
"No Newsletter Found","メールマガジンが見つかりませんでした"
"No customer collections found","No customer collections found"
"No item specified.","アイテムが指定されていません。"
"Not Sent","未送信"
"Not confirmed, can login","認証されていないため、ログインできません"
"Not confirmed, cannot login","認証されていないため、ログインできません"
"Number of lines in a street address ","市区町村番地"
"Offline","オフライン"
"Online","オンライン"
"Online Customers","接続中の顧客"
"Online Customers Options","オンライン顧客オプション"
"Online Minutes Interval","オンライン分間隔"
"Order #","受注番号"
"Order Total","受注合計"
"Orders","受注"
"PDF","ＰＤＦファイル"
"Password","パスワード"
"Password Management","パスワード管理"
"Password Options","パスワードオプション"
"Password can\'t be empty","パスワードは空白にできません。"
"Password fields can\'t be empty.","パスワードフィールドは空にできません"
"Password forgotten","パスワードを忘れた場合"
"Password minimal length must be more %s","パスワードの長さは %s より長くなければなりません。"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","パスワードは6文字以上である必要があります。先頭と最後の空白は無視されます。"
"Password:","Password:"
"Paused","ポーズ中"
"Pending","中断中"
"Per Website","ウェブサイトごと"
"Personal Information","個人情報"
"Please enter your email below and we\'ll send you a new password.","メールアドレスを入力してください。パスワードを送信します。"
"Please enter your email below and we\'ll send you confirmation link for it.","メールアドレスを入力してください。認証用のリンクを送信します。"
"Please enter your email.","メールアドレスを入力してください。"
"Please make sure your passwords match.","パスワードを一致させてください"
"Please select","選択してください"
"Please select region, state or province","県を選択してください"
"Please, check your e-mail for confirmation key.","認証キーが届いていないかメールを確認してください"
"Prefix","プレフィックス"
"Prefix dropdown options","プレフィックス ドロップダウンオプション"
"Price","価格"
"Problem saving the collection, aborting. Error: %s","コレクションを保存中に問題が発生し終了しました。 Error: %s"
"Product","商品"
"Product ID","商品ID"
"Product Name","商品名"
"Product Reviews","商品レビュー"
"Product Tags","商品タグ"
"Product name","商品名"
"Purchase On","出荷日時"
"Purchased at","出荷元"
"Qty","個数"
"Recent Orders","最近の受注"
"Records for ""","記録 """
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Refunded","返金"
"Registered Customers","登録済の会員"
"Remove","削除"
"Require Emails Confirmation","emailアドレス確認"
"Retrieve address data","アドレスデータの取得"
"Retrieve address info","アドレス情報の取得"
"Retrieve customer addresses","顧客住所を取得"
"Retrieve customer data","顧客データ取得"
"Retrieve customer groups","Retrieve customer groups"
"Retrieve customer info","Retrieve customer info"
"Retrieve customers","顧客取得"
"Retrieve your confirmation link here","認証リンクをここから取得"
"Retrieve your password here","パスワードを再入力してください"
"SKU","単位"
"Sales Statistics","売上情報"
"Save","保存"
"Save Address","保存"
"Save And Continue Edit","保存して続行"
"Save Customer","保存"
"Save Customer Group","保存"
"Save Password","保存"
"Saved ","保存されました"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","セミコロン(;) を切り離しました。<br/>セミコロンは空白の最初のオプションにおいてください。<br/>開いたテキストフィールドは空のままにしてください。"
"Send From","Send From"
"Send Welcome Email after Confirmation","ウェルカムメールを確認後に送信する"
"Send auto-generated password","自動生成したパスワードを保存"
"Send confirmation link","認証リンクを送信"
"Send welcome email","ウェルカムメール送信"
"Sending","送信中"
"Sent","送信済"
"Session Start Time","セッション開始時間"
"Set as Default Billing Address","標準の請求先住所に設定する"
"Set as Default Shipping Address","標準の配送先住所に設定する"
"Share Customer Accounts","顧客アカウントを共有"
"Shipped to First Name","送り先名"
"Shipped to Last Name","送り先姓"
"Shipped to Name","お届け先名"
"Shopping Cart","ショッピングカート"
"Shopping Cart - %d item(s)","ショッピングカート - %d個の商品"
"Show Tax/VAT number","税/付加価値税は数値表記です。"
"Show date of birth","誕生日を表示"
"Show gender","Show gender"
"Show middle name (initial)","ミドルネーム (イニシャル)"
"Show prefix","証明 プレフィックス"
"Show suffix","証明 サフィックス"
"Sign Up for Newsletter","メールマガジンを購読する"
"Skip import row, required field ""%s"" not defined","行の取り込みをスキップしました。必須項目 ""%s"" が未定義です。"
"Skip import row, website ""%s"" field not exists","行の取り込みをスキップしました。ウェブサイト ""%s"" が未定義です。"
"State/Province","県"
"Status","状態"
"Store","店舗"
"Store View","ストアビュー"
"Street Address","町村"
"Street Address ","住所"
"Subject","件名"
"Submit","送信"
"Subscribe to newsletter","ニュースレターを購読する"
"Subscribed to Newsletter?","メールマガジンを購読しますか？"
"Suffix","サフィックス"
"Suffix dropdown options","サフィックス ドロップダウンオプション"
"TAX/VAT number is required.","税/付加価値税は必須です。"
"Tag Name","タグ名"
"Tax Class","税区分"
"Tax class","税区分"
"Tax/VAT number","税/付加価値税番号"
"Telephone","電話番号"
"Text","テキスト"
"Text One Line","一行テキスト"
"Thank you for registering with %s","%sで登録ありがとうございます。"
"The address does not belong to this customer","この住所は顧客に関連づいていません"
"The address was successfully deleted","削除しました"
"The address was successfully saved","保存しました。"
"The suffix that goes after name (Jr., Sr., etc.)","名前に続くサフィックスが必要 (Jr., Sr., など)"
"The title that goes before name (Mr., Mrs., etc.)","名前の前につけるタイトル (Mr., Mrs., など)"
"There are no items in customer's wishlist at the moment","現在顧客のほしい物リストに商品がありません"
"There are no items in customer\'s shopping cart at the moment","顧客のショッピングカートに商品がありません"
"There is already an account with this emails address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","There is already an account with this emails address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account."
"There was an error while deleting the address","削除中にエラーが発生しました"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","アカウント確認後、初期値として歓迎メールの代わりに送信されます。"
"This account is not confirmed.","このアカウントは認証されていません。"
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email."
"This customer has no saved addresses.","この顧客は住所を保存していません。"
"This e-mail does not require confirmation.","このメールは認証が必要ありません"
"This email address was not found in our records","メールアドレスが見つかりませんでした"
"This is My Default %s Address","This is My Default %s Address"
"To Cart","カートへ"
"Total","合計"
"Type","タイプ"
"Unknown","不明"
"Unsubscribe from newsletter","メールマガジンを購読解除する"
"Update","更新"
"Update customer address data","顧客アドレスデータ更新"
"Update customer data","顧客データ更新"
"Use as My Default %s Address","Use as My Default %s Address"
"Use as my default billing address","標準の請求先住所にする"
"Use as my default shipping address","標準の配送先住所にする"
"User description","ユーザー概要"
"View","表示"
"View Order","受注表示"
"Visible In","表示先"
"Visitor","訪問者"
"Visitors Only","訪問者のみ"
"Website","ウェブサイト"
"Welcome Email","ウェルカムメール"
"Wishlist","ほしい物リスト"
"Wishlist - %d item(s)","ほしい物リスト - %dの商品"
"Wrong confirmation key.","認証キーが違います"
"Wrong customer account specified.","不正な顧客アカウント番号が指定されました。"
"Wrong email.","間違ったメールアドレス"
"Wrong transactional account email type.","有効でないメールアカウントタイプ"
"XML","ＸＭＬ"
"YYYY","ＹＹＹＹ"
"Year","年"
"You are currently not subscribed to any newsletter.","メールマガジンをご購読いただいておりません。"
"You are currently not subscribed to our newsletter","メールマガジンをご購読いただいておりません。"
"You are currently subscribed to 'General Subscription'.","あなたは現在'一般的な購読'を購読しています。"
"You are currently subscribed to our newsletter","メールマガジンを購読中です。"
"You are currently subscribed to our newsletter.","メールマガジンを購読中です。"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","ログアウトしました。5秒後にトップページに移動します。"
"You have no additional address entries in your address book.","その他の住所データがありません。"
"You have no additional entries in your address book.","その他の住所が住所録にありません。"
"You have no default billing address in your address book.","標準の請求先が住所録にありません。"
"You have no default entries in your address book.","You have no default entries in your address book."
"You have no default shipping address in your address book.","標準のお届け先が住所録にありません。"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"You have placed no orders yet.","まだ注文はありません。"
"You have placed no products yet.","まだ商品はありません。"
"You're now Logged Out","ログアウトしています。"
"Your account balance is: %s","お客様の残高: %s"
"ZIP","郵便番号"
"ZIP/Post Code","郵便番号"
"Zip/Postal Code","郵便番号"
"n/a","ｎ／ａ"
"or","もしくは"
